week,index_level,max_52,ML,mean_52,std_52,mean-2.5*std,CC
413,3174.9,5335.12,0.5950943933782183,0.7216812611280639,0.15231658302119186,0.4932063865962761,0
414,3156.75,5335.12,0.5916924080433055,0.7127803650204848,0.14565950722649154,0.4942911041807475,0
415,3130.35,5335.12,0.5867440657379778,0.7044826879074163,0.1398031236572609,0.4947780024215249,0
416,3074.94,5335.12,0.5763581700130457,0.696342236330062,0.1338595401301156,0.49555292613488855,0
417,3078.22,5335.12,0.5769729640570409,0.6889705591728552,0.1295586777443545,0.49463254255632344,0
418,3062.5,5335.12,0.5740264511388685,0.681371549642128,0.12409865553663334,0.495223566337178,0
419,3189.33,5335.12,0.5977991122973804,0.6723641446933173,0.11396408756836107,0.5014180133407757,0
420,3163.99,5335.12,0.5930494534330999,0.6650587278251349,0.10589904297950253,0.5062101633558811,0
421,3110.36,5335.12,0.5829971959393604,0.6561483174061741,0.09073349897093805,0.5200480689497671,0
422,3077.16,4637.05,0.6636029372122362,0.6477445680696968,0.07529774977667321,0.534797943404687,0
423,3154.2,4336.2,0.7274110972741109,0.6437916301730499,0.06853843417462872,0.5409839789111068,0
424,3192.28,4176.28,0.7643836141254897,0.6421502046658196,0.0653607489187405,0.5441090812877089,0
425,3276.28,4176.28,0.7844972080416065,0.6428428511414854,0.06647368614837461,0.5431323219189235,0
426,3225.16,4176.28,0.7722566494583697,0.6431269870060918,0.06705568397737746,0.5425434610400256,0
427,3203.93,4176.28,0.7671731780436177,0.6430137385104137,0.06682776914357667,0.5427720847950487,0
428,3205.11,4073.54,0.7868119620772105,0.6427134099100767,0.06621961173585614,0.5433839923062925,0
429,3294.23,4073.54,0.8086897391458044,0.6440868785304832,0.06845938635524189,0.5413977989976204,0
430,3365.02,4073.54,0.826067744517054,0.6455557619393186,0.07115573100967153,0.5388221654248113,0
431,3307.09,3838.2,0.8616252409983848,0.6467583538251035,0.0736726719338357,0.5362493459243499,0
432,3314.11,3838.2,0.8634542233338545,0.6503893515842025,0.07941133081389648,0.5312723553633578,0
433,3318.04,3838.2,0.8644781407951644,0.6549467499614898,0.08463978800937863,0.5279870679474219,0
434,3238.73,3838.2,0.8438148090250639,0.6594389876767077,0.08940253648092704,0.5253351829553172,0
435,3275.67,3838.2,0.8534391120837893,0.6636010426572525,0.0928523901292149,0.5243224574634302,0
436,3253.28,3838.2,0.8476056484810589,0.66829392994744,0.0961673776001682,0.5240428635471877,0
437,3305.85,3838.2,0.8613021728935438,0.6729442753773612,0.09889363617481925,0.5246038211151324,0
438,3327.74,3838.2,0.8670053670991611,0.6779625477968982,0.10171828225493079,0.525385124414502,0
439,3340.13,3838.2,0.870233442759627,0.682596059299336,0.10475033308735006,0.5254705596683109,0
440,3354.17,3838.2,0.8738914074305665,0.6865925444376406,0.10788285853922251,0.5247682566288069,0
441,3417.22,3838.2,0.8903183784065447,0.6905253934919009,0.11092787572886258,0.5241335798986071,0
442,3417.46,3838.2,0.8903809077171592,0.6949080913470294,0.1142480164587164,0.5235360666589548,0
